933876488, $(32.39),76,10.29 PM,79,Between 6:00 pm and 10:00 pm
084466416, $(16.04),48,12.16 PM,55,Between 10:00 am and 2:00 pm
901463041, $(7.49),74,8.35 PM,76,Between 6:00 pm and 10:00 pm
792529912, $(40.39),53,5.27 PM,56,Between 10:00 am and 2:00 pm
275186386, $(3.21),52,3.01 PM,54,Between 6:00 pm and 5:59 pm (next day)
113925796, $(24.29),29,11.05 PM,32,Between 10:00 am and 2:00 pm
380935660, $(0.63),41,5.46 PM,42,Between 2:00 pm and 6:00 pm
145555502, $(17.70),40,1.45 PM,42,Between 10:00 am and 2:00 pm
138870947, $(20.44),25,9.57 PM,27,Between 6:00 pm and 10:00 pm
786664499, $(25.72),46,1.2 PM,49,Between 6:00 pm and 10:00 pm
703361403, $(8.39),81,8.16 PM,83,Between 10:00 am and 2:00 pm
812812133, $(10.25),3,11.14 AM,05,Between 10:00 am and 2:00 pm
773565011, $(9.55),59,12.45 PM,61,Between 10:00 am and 2:00 pm
085215990, $(24.99),46,10.5 PM,49,Between 10:00 am and 2:00 pm
366371050, $(3.75),7,9.42 PM,14,Between 10:00 am and 2:00 pm
141863769, $(7.49),60,11.12 AM,66,Between 2:00 pm and 6:00 pm
522042408, $(30.24),33,3.49 PM,37,Between 6:00 pm and 10:00 pm
900337749, $(7.49),67,10.04 PM,72,Between 2:00 pm and 6:00 pm
511680286, $(5.10),67,9.56 PM,69,Between 10:00 am and 2:00 pm
626444487, $(1.75),29,10.1 PM,32,Between 10:00 am and 2:00 pm
826231398, $(7.49),58,7.23 PM,61,Between 10:00 am and 2:00 pm
796063442, $(2.30),39,12.08 PM,40,Between 2:00 pm and 6:00 pm
780719793, $(7.94),50,10.43 PM,52,Between 10:00 am and 2:00 pm
518182086, $(7.49),59,1.07 PM,61,Between 10:00 am and 2:00 pm
738780672, $(7.49),83,7.05 AM,88,Between 2:00 pm and 6:00 pm
392162727, $(6.04),87,5.58 PM,93,Between 2:00 pm and 6:00 pm
167236561, $-   ,87,9.09 PM,89,Between 2:00 pm and 6:00 pm
120095392, $(8.54),34,6.31 PM,39,Between 2:00 pm and 6:00 pm
259248650, $(7.49),88,6.49 PM,91,Between 6:00 pm and 10:00 pm
630544620, $(21.74),61,11.32 AM,65,Between 2:00 pm and 6:00 pm
703864097, $(18.39),88,8.58 PM,90,Between 6:00 pm and 10:00 pm
603213922, $(18.44),87,9.5 PM,92,Between 10:00 am and 2:00 pm
612951718, $(16.89),53,12.03 PM,54,Between 2:00 pm and 6:00 pm
267534810, $(0.75),31,7.52 PM,32,Between 6:00 pm and 10:00 pm
173609228, $(13.00),48,1.45 AM,49,Between 10:00 am and 2:00 pm
330310418, $(7.80),50,10.54 PM,52,Between 10:00 am and 2:00 pm
559286374, $(5.20),70,9.29 PM,74,Between 10:00 am and 2:00 pm
643433375, $(13.29),70,4.1 PM,73,Between 6:00 pm and 10:00 pm
564300894, $-   ,79,6.27 PM,82,Between 10:00 am and 2:00 pm
819568403, $(7.49),72,11.01 AM,74,Between 10:00 am and 2:00 pm
532601112, $(6.00),3,4.34 PM,06,Between 10:00 am and 2:00 pm
994918856, $(30.85),72,3.34 PM,73,Between 6:00 pm and 10:00 pm
694693787, $(4.00),62,4.32 PM,69,Between 6:00 pm and 10:00 pm
942112610, $(7.49),4,9.45 PM,07,Between 2:00 pm and 6:00 pm
010863783, $(16.90),15,4.38 PM,19,Between 6:00 pm and 10:00 pm
893523244, $(12.50),60,9.59 PM,63,Between 10:00 am and 2:00 pm
356411403, $(71.11),88,7.09 PM,93,Between 6:00 pm and 10:00 pm
495860074, $(14.69),88,9.3 PM,90,Between 6:00 pm and 10:00 pm
739381276, $(13.09),60,12.12 PM,61,Between 2:00 pm and 6:00 pm
357219150, $(15.84),12,9.05 AM,16,Between 10:00 am and 2:00 pm
451956597, $(13.21),65,7.5 AM,69,Between 6:00 pm and 5:59 pm (next day)
840605699, $(22.19),64,1.39 PM,70,Between 10:00 am and 2:00 pm
994960640, $(15.44),91,8.49 PM,94,Between 10:00 am and 2:00 pm
557671572, $(0.95),24,12.51 PM,26,Between 2:00 pm and 6:00 pm
689701748, $(7.35),69,9.05 AM,72,Between 6:00 pm and 10:00 pm
869928192, $(2.55),48,10.04 AM,49,Between 10:00 am and 2:00 pm
583181288, $(7.49),82,1.45 PM,86,Between 10:00 am and 2:00 pm
659053015, $(74.15),57,2.54 PM,59,Between 2:00 pm and 6:00 pm
918101033, $(7.49),21,8.43 PM,28,Between 10:00 am and 2:00 pm
731187558, $(5.00),14,1.21 PM,18,Between 10:00 am and 2:00 pm
502027389, $(30.31),92,10.06 PM,94,Between 6:00 pm and 5:59 pm (next day)
431551936, $(6.91),32,10.58 PM,35,Between 6:00 pm and 5:59 pm (next day)
108592213, $(8.30),29,1.16 PM,33,Between 6:00 pm and 10:00 pm
573450271, $(4.00),32,6.09 PM,33,Between 6:00 pm and 10:00 pm
400862975, $(20.85),40,5.24 PM,41,Between 2:00 pm and 6:00 pm
920453992, $(7.49),69,10.36 PM,73,Between 6:00 pm and 10:00 pm
375570482, $(49.84),35,12.21 PM,37,Between 2:00 pm and 6:00 pm
300578658, $(33.14),4,2.3 PM,09,Between 2:00 pm and 6:00 pm
424670400, $(7.49),88,1.4 PM,90,Between 6:00 pm and 10:00 pm
193457780, $(27.74),52,10.13 PM,55,Between 10:00 am and 2:00 pm
084496512, $(18.84),88,11.22 PM,91,Between 2:00 pm and 6:00 pm
945184675, $(7.49),42,5.31 PM,44,Between 2:00 pm and 6:00 pm
878242888, $-   ,18,4.57 PM,20,Between 2:00 pm and 6:00 pm
426016231, $(12.55),76,12.31 PM,79,Between 2:00 pm and 6:00 pm
676351566, $(0.35),48,12.15 PM,49,Between 2:00 pm and 6:00 pm
841032746, $-   ,46,10.4 AM,47,Between 2:00 pm and 6:00 pm
614061141, $(30.74),46,7.11 PM,47,Between 6:00 pm and 10:00 pm
178262209, $(21.30),70,4.02 PM,74,Between 10:00 am and 2:00 pm
121096787, $(17.65),88,11.05 AM,90,Between 2:00 pm and 6:00 pm
460889951, $(11.94),59,8.45 AM,60,Between 2:00 pm and 6:00 pm
255361009, $(0.85),11,8.32 PM,13,Between 10:00 am and 2:00 pm
136096489, $(8.04),82,4.41 PM,83,Between 6:00 pm and 10:00 pm
425360526, $(2.85),40,12.31 PM,41,Between 2:00 pm and 6:00 pm
283019283, $(11.59),53,2.02 PM,54,Between 6:00 pm and 10:00 pm
383786220, $(15.09),39,4.37 PM,40,Between 2:00 pm and 6:00 pm
007817242, $(10.00),76,2.11 PM,79,Between 10:00 am and 2:00 pm
001788281, $(21.19),58,1.04 PM,63,Between 10:00 am and 2:00 pm
566072107, $(17.09),25,10.17 AM,28,Between 10:00 am and 2:00 pm
626083499, $(74.39),90,10.43 PM,96,Between 2:00 pm and 6:00 pm
322528631, $(11.85),63,6.21 PM,68,Between 10:00 am and 2:00 pm
692126677, $(21.99),30,9.07 PM,33,Between 6:00 pm and 10:00 pm
261377076, $(19.29),64,3.37 PM,68,Between 10:00 am and 2:00 pm
267315819, $(21.39),60,12.37 PM,63,Between 2:00 pm and 6:00 pm
853413225, $(7.49),11,5.5 PM,15,Between 10:00 am and 2:00 pm
585299242, $(3.05),59,8.33 PM,61,Between 2:00 pm and 6:00 pm
141886070, $(3.05),18,11.25 PM,20,Between 2:00 pm and 6:00 pm
229485662, $(13.99),53,1.14 PM,55,Between 10:00 am and 2:00 pm
001837425, $(6.60),33,12.41 PM, ,
316140734, $(14.65),45,9.45 AM,46,Between 2:00 pm and 6:00 pm
499519082, $(13.54),76,11.29 AM,77,Between 6:00 pm and 10:00 pm
148796906, $(24.39),4,8.41 PM,09,Between 10:00 am and 2:00 pm
360620146, $(12.50),7,2.47 PM,09,Between 6:00 pm and 10:00 pm
596229036, $-   ,25,12.38 PM,30,Between 10:00 am and 2:00 pm
103729502, $(10.69),53,5.2 PM,56,Between 2:00 pm and 6:00 pm
192677562, $(17.49),31,11.25 PM,35,Between 10:00 am and 2:00 pm
202683082, $(2.40),51,1.44 PM,52,Between 2:00 pm and 6:00 pm
245820352, $(6.25),2,11.46 PM,06,Between 10:00 am and 2:00 pm
243002655, $(29.74),71,9.41 PM,75,Between 10:00 am and 2:00 pm
699877264, $(4.30),53,10.43 PM,58,Between 10:00 am and 2:00 pm
754596335, $(9.49),74,5.37 PM,78,Between 10:00 am and 2:00 pm
869991694, $(11.99),60,9.53 AM,61,Between 2:00 pm and 6:00 pm
358136732, $(7.49),68,11.02 PM,72,Between 2:00 pm and 6:00 pm
195071335, $(6.60),38,8.56 PM,44,Between 10:00 am and 2:00 pm
840643380, $(36.19),78,3.01 PM,80,Between 6:00 pm and 10:00 pm
524232667, $(9.80),11,12.09 AM,13,Between 6:00 pm and 10:00 pm
288920658, $(7.49),9,8.01 AM,12,Between 2:00 pm and 6:00 pm
060259812, $(33.04),85,10.39 AM,87,Between 10:00 am and 2:00 pm
622425387, $(3.21),20,12.21 AM,23,Between 6:00 pm and 5:59 pm (next day)
596315852, $(27.70),64,10.45 PM,69,Between 6:00 pm and 10:00 pm
117587376, $(20.29),90,5.33 PM,91,Between 2:00 pm and 6:00 pm
621688298, $(37.49),59,9.57 PM,66,Between 10:00 am and 2:00 pm
514717452, $(26.00),59,3.5 PM,61,Between 2:00 pm and 6:00 pm
864819338, $(21.54),39,3.11 PM,41,Between 10:00 am and 2:00 pm
348033875, $(3.21),56,6.15 AM,59,Between 6:00 pm and 5:59 pm (next day)
972715536, $(50.09),31,12.01 AM,32,Between 6:00 pm and 10:00 pm
880634869, $(13.04),88,11.3 AM,90,Between 10:00 am and 2:00 pm
922889105, $(9.24),83,11.25 AM,84,Between 2:00 pm and 6:00 pm
909227122, $(9.69),77,4.28 PM,81,Between 2:00 pm and 6:00 pm
166513207, $(4.70),4,11.41 AM,06,Between 10:00 am and 2:00 pm
839925919, $(28.79),47,9.39 PM,49,Between 10:00 am and 2:00 pm
086506388, $(1.55),4,4.42 PM,06,Between 10:00 am and 2:00 pm
